Day,Sold Units,Restocked Units,Available Units
0,0,0,2000
1,176,0,1824
2,181,0,1643
3,32,0,1611
4,174,0,1437
5,134,0,1303
6,108,0,1195
7,0,805,2000
8,187,0,1813
9,193,0,1620
10,124,0,1496
11,37,0,1459
12,43,0,1416
13,93,0,1323
14,0,677,2000
15,131,0,1869
16,116,0,1753
17,141,0,1612
18,123,0,1489
19,121,0,1368
20,63,0,1305
21,0,695,2000
22,153,0,1847
23,26,0,1821
24,91,0,1730
25,113,0,1617
26,7,0,1610
27,110,0,1500
28,0,500,2000
29,110,0,1890
30,121,0,1769
31,198,0,1571
32,28,0,1543
33,128,0,1415
34,163,0,1252
35,0,748,2000
36,46,0,1954
37,196,0,1758
38,59,0,1699
39,82,0,1617
40,15,0,1602
41,200,0,1402
42,0,598,2000
43,64,0,1936
44,191,0,1745
45,190,0,1555
46,83,0,1472
47,180,0,1292
48,124,0,1168
49,0,832,2000
